date,new_cases,new/total,growth_rate,total_cases
30-01-20,1,1,0,1
31-01-20,0,0,-1,1
01-02-20,0,0,0,1
02-02-20,1,0.5,0,2
03-02-20,1,0.333333333,-0.333333333,3
04-02-20,0,0,-1,3
05-02-20,0,0,0,3
06-02-20,0,0,0,3
07-02-20,0,0,0,3
08-02-20,0,0,0,3
09-02-20,0,0,0,3
10-02-20,0,0,0,3
11-02-20,0,0,0,3
12-02-20,0,0,0,3
13-02-20,0,0,0,3
14-02-20,0,0,0,3
15-02-20,0,0,0,3
16-02-20,0,0,0,3
17-02-20,0,0,0,3
18-02-20,0,0,0,3
19-02-20,0,0,0,3
20-02-20,0,0,0,3
21-02-20,0,0,0,3
22-02-20,0,0,0,3
23-02-20,0,0,0,3
24-02-20,0,0,0,3
25-02-20,0,0,0,3
26-02-20,0,0,0,3
27-02-20,0,0,0,3
28-02-20,0,0,0,3
29-02-20,0,0,0,3
01-03-20,0,0,0,3
02-03-20,2,0.4,0,5
03-03-20,0,0,-1,5
04-03-20,23,0.821428571,0,28
05-03-20,2,0.066666667,-0.91884058,30
06-03-20,1,0.032258065,-0.516129032,31
07-03-20,3,0.088235294,1.735294118,34
08-03-20,5,0.128205128,0.452991453,39
09-03-20,4,0.093023256,-0.274418605,43
10-03-20,13,0.232142857,1.495535714,56
11-03-20,6,0.096774194,-0.583126551,62
12-03-20,11,0.150684932,0.557077626,73
13-03-20,9,0.109756098,-0.271618625,82
14-03-20,20,0.196078431,0.786492375,102
15-03-20,11,0.097345133,-0.503539823,113
16-03-20,6,0.050420168,-0.482047364,119
17-03-20,23,0.161971831,2.212441315,142
18-03-20,14,0.08974359,-0.445930881,156
19-03-20,38,0.195876289,1.182621502,194
20-03-20,50,0.204918033,0.046160483,244
21-03-20,86,0.260606061,0.271757576,330
22-03-20,66,0.166666667,-0.360465116,396
23-03-20,103,0.206412826,0.238476954,499
24-03-20,37,0.069029851,-0.66557383,536
25-03-20,121,0.184170472,1.667983052,657
26-03-20,70,0.096286107,-0.47719031,727
27-03-20,160,0.180383315,0.873409567,887
28-03-20,100,0.101317123,-0.438323202,987
29-03-20,37,0.036132813,-0.643369141,1024
30-03-20,227,0.181454836,4.021885195,1251
31-03-20,146,0.104509664,-0.424045863,1397
01-04-20,601,0.300800801,1.878210402,1998
02-04-20,545,0.214313803,-0.2875225,2543
03-04-20,24,0.009349435,-0.956375021,2567
04-04-20,515,0.167099286,16.87266115,3082
05-04-20,506,0.141025641,-0.156036843,3588
06-04-20,1190,0.249058183,0.766048936,4778
07-04-20,533,0.100357748,-0.597050991,5311
08-04-20,605,0.102265044,0.019004969,5916
09-04-20,809,0.120297398,0.176329595,6725
10-04-20,873,0.114898658,-0.044878279,7598
11-04-20,848,0.100402557,-0.126164225,8446
12-04-20,759,0.082455187,-0.178754112,9205
13-04-20,1248,0.119391562,0.447956957,10453
14-04-20,1034,0.090014799,-0.246053928,11487
15-04-20,835,0.067764973,-0.247179645,12322
16-04-20,1108,0.082501862,0.217470584,13430
17-04-20,922,0.064241918,-0.221327661,14352
18-04-20,1370,0.087139041,0.356420297,15722
19-04-20,1893,0.107465228,0.233261549,17615
20-04-20,924,0.049840876,-0.53621393,18539
21-04-20,1541,0.076743028,0.539760816,20080
22-04-20,1290,0.060364998,-0.213413918,21370
23-04-20,1707,0.073969753,0.225374908,23077
24-04-20,1453,0.059233592,-0.199218751,24530
25-04-20,1753,0.066697105,0.12600136,26283
26-04-20,1607,0.057619218,-0.136106152,27890
27-04-20,1561,0.053003294,-0.080110853,29451
28-04-20,1873,0.059794407,0.12812625,31324
29-04-20,1738,0.052567903,-0.120855854,33062
30-04-20,1801,0.051659352,-0.017283368,34863
01-05-20,2394,0.064256381,0.243847986,37257
02-05-20,2442,0.061512884,-0.0426961,39699
03-05-20,2806,0.066015763,0.073202199,42505
04-05-20,3932,0.084673859,0.282630929,46437
05-05-20,2963,0.059979757,-0.291637848,49400
06-05-20,3587,0.06769585,0.12864495,52987
07-05-20,3364,0.059697255,-0.118154883,56351
08-05-20,3344,0.056018092,-0.061630351,59695
09-05-20,3113,0.04956375,-0.115218886,62808
10-05-20,4353,0.064814401,0.307697691,67161
11-05-20,3607,0.050969365,-0.213610498,70768
12-05-20,3524,0.047434448,-0.069353755,74292
13-05-20,3763,0.048209596,0.016341456,78055
14-05-20,3942,0.04807493,-0.002793349,81997
15-05-20,3787,0.044145761,-0.081730086,85784
16-05-20,4864,0.053658106,0.215475831,90648
17-05-20,5050,0.052770173,-0.01654798,95698
18-05-20,4630,0.046148632,-0.125478845,100328
19-05-20,6147,0.057731862,0.250998325,106475
20-05-20,5553,0.049567965,-0.141410592,112028
21-05-20,6198,0.052425016,0.057639069,118226
22-05-20,6568,0.052630735,0.003924061,124794
23-05-20,6629,0.050440182,-0.041621188,131423
24-05-20,7113,0.051344055,0.017919707,138536
25-05-20,6414,0.044249741,-0.138172057,144950
26-05-20,5843,0.038748483,-0.124322948,150793
27-05-20,7293,0.046133117,0.190578671,158086
28-05-20,7300,0.044139165,-0.043221707,165386
29-05-20,8105,0.046717121,0.058405169,173491
30-05-20,8336,0.045845776,-0.018651498,181827
31-05-20,8782,0.046073375,0.004964446,190609
01-06-20,7761,0.039123859,-0.150835832,198370
02-06-20,8821,0.042574243,0.08819129,207191
03-06-20,9633,0.044427739,0.043535608,216824
04-06-20,9889,0.043619025,-0.0182029,226713
05-06-20,9471,0.040100091,-0.080674281,236184
06-06-20,10438,0.04232388,0.055455954,246622
07-06-20,10864,0.042192585,-0.00310215,257486
08-06-20,8442,0.031745435,-0.247606311,265928
09-06-20,10218,0.037002166,0.165590129,276146
10-06-20,10459,0.036492734,-0.013767616,286605
11-06-20,10930,0.036735174,0.006643517,297535
12-06-20,11458,0.037081746,0.009434341,308993
13-06-20,11929,0.037171026,0.002407648,320922
14-06-20,11502,0.03460039,-0.069156986,332424
15-06-20,10667,0.031090877,-0.101429872,343091
16-06-20,10974,0.030994309,-0.003105985,354065
17-06-20,12881,0.035103258,0.132571071,366946
18-06-20,13586,0.035702648,0.017075058,380532
19-06-20,14516,0.036744902,0.029192625,395048
20-06-20,15403,0.037527013,0.021284887,410451
21-06-20,14831,0.034873331,-0.070713911,425282
22-06-20,14933,0.033922061,-0.027277873,440215
23-06-20,15968,0.035003496,0.031880009,456183
24-06-20,16922,0.035767958,0.021839592,473105
25-06-20,17296,0.035269096,-0.013947186,490401
26-06-20,18552,0.036451303,0.033519625,508953
27-06-20,19906,0.037639522,0.032597438,528859
28-06-20,19459,0.03548853,-0.057147157,548318
29-06-20,18522,0.032675887,-0.079254987,566840
30-06-20,18641,0.031838779,-0.025618544,585481
01-07-20,19160,0.031688225,-0.00472863,604641
02-07-20,20903,0.033415715,0.054515204,625544
03-07-20,22771,0.035123358,0.051103,648315
04-07-20,24850,0.036915169,0.051014801,673165
05-07-20,24248,0.034768494,-0.058151568,697413
06-07-20,22251,0.030918595,-0.110729531,719664
07-07-20,22753,0.030647197,-0.008777838,742417
08-07-20,24879,0.032424253,0.05798431,767296
09-07-20,26506,0.033391198,0.029821653,793802
10-07-20,27114,0.033028958,-0.01084838,820916
11-07-20,28606,0.033673054,0.019500945,849522
12-07-20,28732,0.032714909,-0.028454337,878254
13-07-20,28498,0.03142866,-0.039316927,906752
14-07-20,29429,0.031435161,0.000206845,936181
15-07-20,32676,0.033726339,0.072885865,968857
16-07-20,34975,0.034841487,0.033064603,1003832
17-07-20,35252,0.033926035,-0.026274784,1039084
18-07-20,38697,0.035904326,0.058311878,1077781
19-07-20,40425,0.036151657,0.006888629,1118206
20-07-20,37132,0.032139512,-0.110980937,1155338
21-07-20,37740,0.031632467,-0.0157764,1193078
22-07-20,45720,0.036906743,0.166736187,1238798
23-07-20,49310,0.038280952,0.037234608,1288108
24-07-20,48916,0.036585731,-0.044283667,1337024
25-07-20,48611,0.03508211,-0.041098546,1385635
26-07-20,49981,0.03481502,-0.007613288,1435616
27-07-20,44457,0.030037032,-0.137239278,1480073
28-07-20,51596,0.033686129,0.121486616,1531669
29-07-20,50294,0.031792147,-0.056224402,1581963
30-07-20,52783,0.032288196,0.015602897,1634746
31-07-20,61242,0.036109925,0.118363033,1695988
01-08-20,54735,0.031264226,-0.134192995,1750723
02-08-20,52972,0.029368602,-0.060632385,1803695
03-08-20,52050,0.028048035,-0.044965268,1855745
04-08-20,52509,0.027516777,-0.018940988,1908254
05-08-20,56282,0.028649004,0.041146789,1964536
06-08-20,62538,0.030851365,0.076873909,2027074
07-08-20,61537,0.029463122,-0.044997795,2088611
08-08-20,64399,0.029911148,0.015206331,2153010
09-08-20,62064,0.028018928,-0.063261336,2215074
10-08-20,53601,0.023626566,-0.156764108,2268675
11-08-20,60963,0.026168443,0.107585552,2329638
12-08-20,66999,0.027955423,0.068287562,2396637
13-08-20,64553,0.026228369,-0.061778831,2461190
14-08-20,64732,0.025627078,-0.022925224,2525922
15-08-20,64030,0.024722466,-0.035299071,2589952
16-08-20,57711,0.021796958,-0.118333973,2647663
17-08-20,55018,0.020356823,-0.06607045,2702681
18-08-20,64572,0.023334332,0.146265868,2767253
19-08-20,69672,0.024558986,0.052482908,2836925
20-08-20,68900,0.023710994,-0.034528756,2905825
21-08-20,69876,0.023482198,-0.009649377,2975701
